REPORTNUMBER,LATITUDE,LONGITUDE
9590-2017-15020,34.050507,-118.262328
9725-2017-02820,37.237387,-121.761073
9525-2017-15391,34.071956,-117.888562
9525-2017-15392,34.06667,-117.988317
9345-2017-00662,37.587967,-122.053255
9530-2017-15128,33.805823,-118.14291
9260-2017-12285,38.560942,-121.358606
9580-2017-14971,34.21947,-118.473209
9535-2017-15304,33.948455,-118.170338
9860-2017-13757,34.267589,-117.44955
9330-2017-12894,37.421613,-122.093295
9370-2017-11876,37.855098,-122.300484
9765-2017-00432,34.260423,-119.258495
9660-2017-00041,33.609808,-114.840983
9645-2017-11846,32.681839,-117.110915
9260-2017-12289,38.623167,-121.232901
9535-2017-15223,34.037261,-118.037565
9685-2017-13293,33.496025,-117.147696
9550-2017-15528,34.02909,-118.014148
9655-2017-13173,33.924317,-116.899122
9860-2017-13884,34.220485,-117.410369
9535-2017-15376,34.035985,-118.167779
9565-2017-14950,34.017015,-118.422264
9580-2017-15180,34.208724,-118.473315
9530-2017-15402,33.746879,-118.292055
9580-2017-15110,34.147193,-118.470114
9350-2017-00299,37.855468,-122.493903
9365-2017-10467,38.247139,-122.075201
9580-2017-15068,34.174896,-118.467758
9550-2017-15072,34.005665,-117.960393
9365-2017-10360,38.22168,-122.130669
9241-2017-00099,39.752931,-121.842886
9390-2017-08913,37.819917,-121.993229
9840-2017-13606,33.93922,-117.216977
9340-2017-12685,37.356767,-121.86906
9390-2017-08931,37.565303,-121.901456
9675-2017-15106,33.758603,-117.860065
9530-2017-15038,33.826456,-118.207354
9590-2017-15162,33.99059,-118.280492
9760-2017-07664,34.426536,-119.72492
9265-2017-09657,37.992261,-121.238303
9222-2017-00927,39.352088,-120.150157
9340-2017-13057,37.398312,-122.024916
9550-2017-15883,33.87669,-118.132215
9370-2017-12128,37.934122,-122.326773
9335-2017-11992,37.820326,-122.340809
9760-2017-07823,34.47544,-120.227366
9335-2017-11926,37.666979,-122.485402
9370-2017-12089,37.839287,-122.29686
9370-2017-12120,37.730444,-122.18746
9675-2016-9747,33.818302,-117.876272
9330-2017-12912,37.58259,-122.326728
9330-2017-12931,37.576347,-122.319954
9530-2017-15463,33.802659,-118.118463
9530-2017-15477,33.872657,-118.273046
9530-2017-15478,33.873132,-118.267151
9365-2017-10391,38.387154,-121.93514
9645-2017-11712,32.701395,-117.094823
9265-2017-09604,38.487982,-121.437358
9565-2017-14637,34.019321,-118.424088
9535-2017-14586,34.072139,-118.08018
9390-2017-09066,37.501571,-121.930022
9535-2017-15206,33.905887,-118.183409
9480-2017-09575,36.492154,-119.522113
9530-2017-15253,33.802659,-118.118463
9550-2017-15621,34.020422,-118.048792
9650-2017-13312,33.340758,-117.508831
9480-2017-09649,36.299746,-119.385844
9530-2017-15696,33.860021,-118.310584
9680-2017-11999,32.803071,-116.934577
9645-2017-12294,32.789319,-117.206989
9655-2017-13233,33.926568,-116.938096
9390-2017-09258,37.498359,-121.926385
9390-2017-09205,37.564353,-121.902851
9720-2017-06882,36.983359,-121.928037
9770-2017-00393,34.278688,-118.86086
9550-2017-16021,33.982191,-118.074379
9765-2017-00477,34.21901,-119.068104
9550-2017-16023,33.931469,-118.101646
9345-2017-00491,37.695712,-122.145184
9840-2017-14634,34.023984,-117.550276
9250-2017-12672,38.549357,-121.473929
9565-2017-14718,34.025144,-118.428695
9345-2017-00581,37.675767,-122.116214
9120-2017-00069,41.883747,-124.136719
9675-2017-15064,33.792649,-117.891069
9565-2017-14603,34.014832,-118.420537
9835-2017-03723,34.828088,-117.092299
9370-2017-11787,37.916781,-122.317439
9670-2017-14967,33.70423,-117.953087
9370-2017-11937,37.773088,-122.227681
9550-2017-15401,33.924102,-118.104194
9760-2017-07766,34.440306,-119.823799
9550-2017-15483,34.019878,-117.9885
9330-2017-12791,37.405966,-122.058638
9340-2017-13050,37.385885,-121.977454
9860-2017-13895,34.267443,-117.44955
9535-2017-15549,34.020411,-118.173382
9565-2017-15077,34.038479,-118.439465
9345-2017-00718,37.626409,-122.080702
9535-2017-15504,34.006231,-118.155135
9370-2017-12063,37.991824,-122.308231
9675-2017-15587,33.690775,-117.923308
9530-2017-15717,33.805599,-118.14208
9750-2017-00330,34.976326,-119.755858
9550-2017-16011,33.99417,-117.90131
9535-2017-15604,33.980089,-118.129082
9690-2017-00477,33.618736,-117.711694
9340-2017-12757,37.362702,-121.842893
9720-2017-06630,37.143247,-121.984999
9685-2017-13189,33.507705,-117.154534
9530-2017-14908,33.802685,-118.120367
9575-2017-14361,34.162482,-118.158411
9530-2017-14914,33.844976,-118.269021
9265-2017-09682,37.959781,-121.25326
9530-2017-15011,33.90078,-118.286617
9530-2017-15048,33.889781,-118.359687
9645-2017-11879,32.599336,-117.036307
9530-2017-15037,33.826438,-118.207181
9420-2017-07974,35.295838,-118.91436
9860-2017-13680,34.138481,-117.242425
9670-2017-15055,33.774392,-118.076172
9590-2017-15260,34.024521,-118.276223
9565-2017-14952,33.930568,-118.344711
9340-2017-13276,37.34261,-121.847355
9680-2017-11919,32.799042,-116.976272
9230-2017-00204,39.304213,-120.709493
9580-2017-10094,34.150097,-118.66285
9370-2017-12005,37.848966,-122.298948
9670-2017-14886,33.814677,-117.914572
9420-2017-08145,35.26718,-119.110732
9575-2017-14852,34.200168,-118.338791
9680-2017-11589,32.776358,-117.050588
9675-2016-13171,33.787428,-117.831023
9840-2017-14642,33.901473,-117.560246
9530-2017-14874,33.881494,-118.284967
9575-2017-14422,34.152543,-118.098154
9670-2017-14809,33.795246,-117.893831
9680-2017-11620,32.773451,-117.03658
9125-2017-03277,40.508632,-124.119792
9550-2017-15541,33.89293,-118.045251
9580-2017-14894,34.142537,-118.471425
9525-2017-15425,34.009902,-117.823593
9860-2017-13720,34.34370820334218,-117.44967528818415
9252-2017-12658,38.269475,-121.301999
9575-2017-14750,34.14781,-118.079043
9330-2017-12952,37.512751,-122.254776
9575-2017-14765,34.148779,-118.056761
9655-2017-13236,33.926744,-116.942313
9265-2017-09905,37.778702,-121.1846
9330-2017-12957,37.487569,-122.206058
9530-2017-15415,33.928698,-118.285514
9765-2017-00456,34.396822,-119.299597
9725-2017-02872,37.114162,-121.623056
9670-2017-15196,33.774405,-118.078759
9370-2017-09761,37.837303,-122.296355
9530-2017-15454,33.825835,-118.240352
9840-2017-15194,33.73002,-117.391837
9525-2017-15858,34.014303,-117.819358
9535-2017-15505,33.998214,-118.147107
9675-2017-15122,33.638711,-117.730399
9680-2017-11725,32.801528,-116.974102
9525-2017-15252,34.070924,-117.763853
9340-2017-12857,37.41452,-121.880438
9345-2017-00583,37.690049,-122.137001
9345-2017-00562,37.643015,-122.092555
9330-2017-12786,37.436106,-122.109586
9855-2017-15225,34.142288,-117.488748
9345-2017-00671,37.632197,-122.08483
9525-2017-15363,34.061983,-117.805532
9345-2017-00783,37.580837,-122.048993
9535-2017-15621,34.034722,-118.149055
9390-2017-09207,37.605791,-121.872633
9550-2017-15921,34.020965,-117.989535
9550-2017-15942,33.991893,-118.069602
9770-2017-00375,34.177316,-118.875886
9330-2017-12896,37.52715,-122.27107
9670-2017-15326,33.734803,-117.992393
9550-2017-16008,33.943961,-118.09516
9390-2017-09241,37.511837,-121.9381
9550-2017-16006,33.892672,-118.104683
9550-2017-16017,33.994269,-117.909838
9465-2017-04689,37.607818,-120.975117
9835-2017-03726,35.451137,-115.654201
9252-2017-12498,38.553102,-121.474049
9340-2017-12829,37.385885,-121.977454
9675-2017-15010,33.725076,-117.803083
9565-2017-14640,33.981005,-118.39379
9645-2017-11781,32.800979,-117.15004
9125-2017-03262,40.915256,-124.092416
9685-2017-13192,33.466291,-117.136326
9370-2017-11907,37.991824,-122.308231
9725-2017-02841,36.85976856445167,-121.60574377109677
9670-2017-15118,33.774423,-118.083235
9330-2017-12668,37.411887,-122.077864
9540-2017-06056,34.359751,-118.506272
9670-2017-15119,33.77449,-118.047833
9265-2017-09680,37.822937,-121.291376
9456-2017-00107,37.366146,-119.630708
9835-2017-03817,35.024901,-116.49257
9645-2017-12280,32.696621,-117.136139
9645-2017-12251,32.753426,-117.199688
9835-2017-03852,34.886137,-117.041786
9650-2017-13483,33.186175,-117.358875
9860-2017-13881,34.29647,-117.45569
9370-2017-12161,37.838589,-122.296721
9550-2017-14994,34.029088,-118.01364
9645-2017-11452,32.601954,-117.08969
9575-2017-14243,34.179866,-118.312606
9650-2017-10074,33.162933,-117.3421
9850-2017-03738,34.374652,-117.422073
9390-2017-08884,37.494249,-121.921812
9390-2017-08883,37.494249,-121.921812
9530-2017-14895,33.849454,-118.274894
9345-2017-00545,37.684203,-122.128557
9565-2017-14670,34.029495,-118.444549
9590-2017-14976,34.030013,-118.274426
9575-2017-14389,34.151824,-118.141203
9860-2017-13509,34.321599,-117.481726
9575-2017-14402,34.167867,-118.301001
9550-2017-15177,33.891946,-118.10465
9340-2017-12923,37.381084,-121.960729
9456-2017-00108,37.352897,-119.724134
9285-2017-00212,39.117214,-121.634646
9750-2017-00278,34.867553,-120.436658
